epoch,lossD,lossG
0,-0.018440162438017105,-6.982716071030248e-05
1,-0.018493244756084642,-8.447038144550994e-05
2,-0.018752821289233244,-7.289080811359896e-05
3,-0.018841772083330082,-6.406860826627274e-05
4,-0.018963242172331078,-5.576678064207488e-05
5,-0.01903761934880207,-5.215171861235635e-05
6,-0.019059561412416097,-5.350702428495715e-05
7,-0.019037016104958428,-5.636312697443587e-05
8,-0.019076334499964504,-5.4717158623185216e-05
9,-0.019161313220656027,-5.104963096832782e-05
10,-0.019166829330084133,-4.8712280634009666e-05
11,-0.01919433516936738,-5.00304868005912e-05
12,-0.019237340897816157,-4.533226331277508e-05
13,-0.019239691513797032,-4.343065601210292e-05
14,-0.019257034012017202,-4.382011635372744e-05
15,-0.019255891929803565,-4.466766869567241e-05
16,-0.01925283302736681,-4.414687872850142e-05
17,-0.019254365844328377,-4.421270078886652e-05
18,-0.019262761676133965,-4.299567988507853e-05
19,-0.019270254066213965,-4.1471457850334865e-05
20,-0.019289856955313732,-4.1333113631456714e-05
21,-0.019295712211367878,-3.781978391220209e-05
22,-0.019283767978994372,-4.250126680839407e-05
23,-0.019280018149885034,-4.234952024371465e-05
24,-0.01931782563386767,-3.5656762084656454e-05
25,-0.01930273168393647,-3.956580293060591e-05
26,-0.01933311579375665,-3.674462245288781e-05
27,-0.01934509607218603,-3.498099141194758e-05
28,-0.01934314528773072,-3.71078204426967e-05
29,-0.01938454569729446,-2.8716825687294478e-05
30,-0.019404745476542792,-2.9734223970112344e-05
31,-0.019393345617107365,-2.9651678543042532e-05
32,-0.01941847889723856,-3.0412194400986932e-05
33,-0.019421056903122284,-2.708517976817868e-05
34,-0.01941194351879693,-3.15325602521803e-05
35,-0.019421318298958337,-2.8325905651760502e-05
36,-0.019440084082711893,-2.5585120566257488e-05
37,-0.01942527255312458,-2.7448517468248463e-05
38,-0.019438417541530372,-2.4442698224793335e-05
39,-0.019435907557690098,-2.429086355543566e-05
40,-0.019451323887710568,-2.3734133272118134e-05
41,-0.019462232999970266,-2.3897970526056624e-05
42,-0.019431307665638324,-2.4585183048448794e-05
43,-0.01944290921697691,-2.5693419142205833e-05
44,-0.01942685075716844,-3.054267024822972e-05
45,-0.01943509670561239,-2.784757191089006e-05
46,-0.019466506402893886,-2.5261691532334425e-05
47,-0.019457167187985628,-2.607957283788822e-05
48,-0.01944746381974519,-2.5831982755076645e-05
49,-0.019467095302334474,-2.426560371653185e-05
50,-0.019445837511103164,-2.5332119886390475e-05
51,-0.019442625592764554,-2.891125704643434e-05
52,-0.019453640107307702,-2.4691431893292554e-05
53,-0.019447485002121137,-2.606291449749431e-05
54,-0.019436130507428175,-2.8487354600382386e-05
55,-0.01945580539630174,-2.608442318264708e-05
56,-0.01945917839596449,-2.4581361855871558e-05
57,-0.019472357564305924,-2.3921645128042624e-05
58,-0.019468424723360505,-2.169942135043878e-05
59,-0.019484429101674146,-2.2664212904996173e-05
60,-0.019489348112448637,-2.2107544873615492e-05
61,-0.019471490329234745,-2.3412145903953648e-05
62,-0.019466570825742952,-2.4811513540582095e-05
63,-0.01947318255128875,-2.2958319030244726e-05
64,-0.01948243881593635,-2.2753534713476026e-05
65,-0.019478811805239762,-2.301248722020856e-05
66,-0.019489009617897336,-2.107455471396463e-05
67,-0.019484758897096728,-2.0326704285102905e-05
68,-0.019475287311762048,-2.2981125992465436e-05
69,-0.019490770315493285,-2.256699628679777e-05
70,-0.019492323418507283,-2.1610383433385284e-05
71,-0.019497845054560425,-2.010335985427827e-05
72,-0.01947834740367049,-2.0331137018307327e-05
73,-0.019489293672771912,-2.0423328333127377e-05
74,-0.019495451249736253,-1.870292168023986e-05
75,-0.01951210315315438,-1.768046783261938e-05
76,-0.019517226947912338,-1.8850840685023146e-05
77,-0.019493363445191814,-2.0558961696253375e-05
78,-0.01949344647562763,-1.946400354936154e-05
79,-0.019511694449242323,-1.9359001673968952e-05
80,-0.019506887983290484,-2.0557837581285006e-05
81,-0.019505100083479814,-1.9500660016925797e-05
82,-0.019504365623930594,-1.8243619994046975e-05
83,-0.0195192219036669,-1.9160142036727618e-05
84,-0.019514467700747953,-1.8185874288205668e-05
85,-0.019499970450580342,-2.1673817030311517e-05
86,-0.019508707257650935,-1.9415554308169257e-05
87,-0.01951727183433428,-2.001542384858106e-05
88,-0.019513443577041756,-1.8041938502642844e-05
89,-0.019516483752746016,-1.629569927875807e-05
90,-0.01951767186964872,-1.6494554662408795e-05
91,-0.019497787062851175,-1.554329901031047e-05
92,-0.01950410346655465,-1.5993679931689467e-05
93,-0.019515785663676604,-1.6345844472607036e-05
94,-0.01948809298127691,-2.0496305576764232e-05
95,-0.019421594010403893,-2.7392843986348045e-05
96,-0.019464362579246938,-2.2220271800946656e-05
97,-0.01948915287998241,-1.999314242308418e-05
98,-0.019502179858995588,-1.9038806225559905e-05
99,-0.01946369257134034,-2.2673213364919612e-05
