epoch,lossD,lossG
0,-7.74522963231767,-0.7477961224089287
1,-6.967517804977959,-1.2017326827850074
2,-6.926604103400255,-1.2548454047542121
3,-5.253000281965618,-1.0833750272217864
4,-5.462422867251961,-1.4001130264586032
5,-5.4833162579812535,-1.3504792192512984
6,-5.57334211084253,-1.2615170061398646
7,-5.726797902428392,-1.2985816729217292
8,-5.782996188777723,-1.9631072595191281
9,-5.256074511364642,-1.8813169045628968
10,-6.610213104214496,-0.43471618354924196
11,-8.443017049766045,0.15257485136876245
12,-11.173053207046696,0.9192543364892494
13,-11.9591817356376,1.5626404483053984
14,-12.290525023108607,1.817223766782899
15,-12.324406751056216,1.9426886308421967
16,-11.55540902019818,2.06222570298323
17,-11.486051298789125,3.041041674644454
18,-11.57915373016268,3.3170367514909205
19,-11.685548529187754,3.4429545580451166
20,-11.738945534742717,3.3776834722775133
21,-11.713151717618077,3.3273144835856425
22,-11.762210508907781,3.4221646859447583
23,-11.834442028612978,3.371105840719585
24,-11.843006488483852,3.4355176443230113
25,-7.885712571966368,0.5700277905975248
26,-8.47478045138723,-1.1247966482854093
27,-8.75414665548532,-1.056220843235273
28,-8.218573335899727,-1.1679666906055102
29,-7.602678689366973,-1.0522712053024152
30,-6.051656864853556,-0.9209715257257794
31,-5.327448738854069,-0.809419742954184
32,-4.87976426057724,-0.889451166364684
33,-4.867253586935845,-1.0086689075268407
34,-4.590454274021995,-0.9450328503526858
35,-4.369212716817856,-0.8962376377920607
36,-4.669560415658361,-0.8660587878115396
37,-5.030630180385829,-0.5293715560455312
38,-5.442782486679712,-0.18734794204271754
39,-5.968392819865172,-0.0287540856421665
40,-5.772449348971787,0.03301352149866986
41,-6.150807069944166,-0.07059176249301999
42,-6.671957362117544,-0.4900373808120185
43,-6.359923218231974,-0.6605448888466835
44,-6.589905218592585,-0.6189545679476056
45,-5.098389844078499,-1.163688690741179
46,-3.3849980349161988,-0.5115522571329547
47,-2.7890203164330423,-0.35708116366962855
48,-2.5671323291909722,-0.7265111967635307
49,-2.4131257517664415,-0.7816371441732393
